"Top 1000 values of json.error_full_message.keyword","Count of records"
"error confirming prebooking: failed to prebook order: error prebook in tour adapter: error concretizing with tourists: fail to check prebooked tour: non-retriable error: prebook have failed status",84
"error confirming prebooking: booking already in progress",68
"error confirming prebooking: failed to prebook order: error prebook in hotel adapter: error prebooking: fail to prebook acm tour: failed to actualize acm tour: component not available",59
"validate client params err: empty phone",20
"error confirming prebooking: failed to prebook order: error prebook in tour adapter: error concretizing with tourists: error to prepare booking: fail to prebook tour: error create booking: while calling create booking: create booking error: by LT: ",16
"validate client params err: empty email",16
"error confirming prebooking: failed to prebook order: error prebook in hotel adapter: error prebooking: fail to check prebooked tour: non-retriable error: prebook have failed status",15
"error confirming prebooking: failed to prebook order: error prebook in hotel adapter: error prebooking: fail to prebook acm tour: while calling prebook: prebook error: by LT: birth certificate cannot be used after age 14",10
"error confirming prebooking: failed to prebook order: error prebook in hotel adapter: error prebooking: fail to prebook acm tour: while calling prebook: prebook error: by LT: tourist name has test format",8
"error confirming prebooking: failed to prebook order: error prebook in tour adapter: error concretizing with tourists: error to prepare booking: fail to prebook tour: while calling concretize: while actualizing tour: all flights are unsupported",6
"error confirming prebooking: failed to prebook order: error prebook in hotel adapter: error prebooking: fail to prebook acm tour: while calling prebook: prebook error: by LT: document number is invalid",4
"error confirming prebooking: failed to prebook order: error prebook in hotel adapter: error prebooking: fail to prebook acm tour: while calling prebook: prebook error: by LT: accommodation offer not found",2
"error confirming prebooking: failed to prebook order: error prebook in tour adapter: error concretizing with tourists: fail to check prebooked tour: non-retriable error: prebook have expired ttl",2
"validate client params err: empty surname",2
"error confirming prebooking: failed to prebook order: error prebook in tour adapter: error concretizing with tourists: error to prepare booking: fail to prebook tour: while calling concretize: while actualizing tour: tour expired: by LT: response error",1
